sand 	 noun 	 course 	 sending, service, course of food, dish of food, repast, mess, victuals
sand 	 noun 	 English 	 sand, gravel
sand 	 noun 	 gravel 	 sand, gravel
sand 	 noun 	 beach 	 sand by the sea, sands, seashore, sandy shore, beach
sand 	 noun 	 seashore 	 sand by the sea, sands, seashore, sandy shore, beach
full 	 adjective 	 complete 	 full, filled, complete, entire
full 	 adjective 	 entire 	 full, filled, complete, entire
full 	 adjective 	 filled 	 full, filled, complete, entire
full 	 noun 	 beaker 	 a beaker
full 	 noun 	 cup 	 a cup, especially one with liquor in it
lig 	 noun 	 fire 	 fire; flame
lig 	 noun 	 flame 	 fire; flame
sal 	 noun 	 rein 	 rope, cord, rein
sal 	 noun 	 rope 	 rope, cord, rein
sal 	 noun 	 cord 	 rope, cord, rein
gram 	 adjective 	 hostile 	 angry, hostile
gram 	 adjective 	 angry 	 angry, hostile
ore 	 noun 	 mine 	 A mine, place in which ore is dug
mase 	 noun 	 titmouse 	 titmouse
ile 	 noun 	 foot 	 the sole of the foot
ile 	 noun 	 sole 	 the sole of the foot
help 	 noun 	 helpEnglish 	 help
wir 	 noun 	 wire 	 wire
ah 	 conjunction 	 but 	 but
blod 	 noun 	 blood 	 blood
ham 	 noun 	 house 	 home, house
ham 	 noun 	 home 	 home, house
ham 	 noun 	 property 	 property, estate, farm
ham 	 noun 	 estate 	 property, estate, farm
ham 	 noun 	 farm 	 property, estate, farm
ham 	 noun 	 community 	 village; community
ham 	 noun 	 village 	 village; community
ham 	 adverb 	 home 	 home, homeward
ham 	 adverb 	 homeward 	 home, homeward
wand 	 noun 	 mole 	 mole
ta 	 noun 	 toe 	 toe
mot 	 noun 	 assembly 	 meeting, assembly
mot 	 noun 	 meeting 	 meeting, assembly
flor 	 noun 	 ground 	 the floor or ground
flor 	 noun 	 floor 	 the floor or ground
boc 	 noun 	 book 	 book
boc 	 noun 	 beech 	 Trees beech
munt 	 noun 	 hill 	 a hill, mound
munt 	 noun 	 mound 	 a hill, mound
munt 	 noun 	 mountain 	 a mount or mountain
munt 	 noun 	 mount 	 a mount or mountain
line 	 noun 	 cable 	 line, rope, cable
line 	 noun 	 rope 	 line, rope, cable
line 	 noun 	 series 	 row, series
line 	 noun 	 row 	 row, series
line 	 noun 	 direction 	 direction, rule
line 	 noun 	 rule 	 direction, rule
gift 	 noun 	 wife 	 payment for a wife
gift 	 noun 	 wedding 	 marriage, wedding
gift 	 noun 	 marriage 	 marriage, wedding
dag 	 noun 	 dough 	 dough
dal 	 noun 	 division 	 division
ne 	 adverb 	 not 	 not
ne 	 conjunction 	 or 	 ' or, and not
ne 	 conjunction 	 not 	 ' or, and not
ne 	 conjunction 	 and 	 ' or, and not
ne 	 conjunction 	 w:Alfred the Great 	 * late 9th century, King Alfred's  of The Consolation of Philosophy
sex 	 noun 	 shortsword 	 |shortsword, dagger, knife
sex 	 noun 	 dagger 	 |shortsword, dagger, knife
sex 	 noun 	 knife 	 |shortsword, dagger, knife
na 	 adverb 	 not 	 not, no
na 	 adverb 	 no 	 not, no
na 	 adverb 	 w:Ælfric of Eynsham 	 * late 10th century, Ælfric
na 	 conjunction 	 not 	 not
na 	 conjunction 	 w:Ælfric of Eynsham 	 * late 10th century, Ælfric
ar 	 noun 	 glory 	 honour, glory, grace
ar 	 noun 	 honour 	 honour, glory, grace
ar 	 noun 	 grace 	 honour, glory, grace
ar 	 noun 	 brass 	 ore, brass, copper
ar 	 noun 	 ore 	 ore, brass, copper
ar 	 noun 	 copper 	 ore, brass, copper
ar 	 noun 	 oar 	 oar
ar 	 noun 	 herald 	 messenger, herald
ar 	 noun 	 messenger 	 messenger, herald
ar 	 noun 	 angel 	 angel
ar 	 noun 	 missionary 	 missionary
ge 	 pronoun 	 you 	 you : p
ge 	 conjunction 	 and 	 and; often doubled as ġe... ġe
se 	 determiner 	 that 	 that
se 	 pronoun 	 that 	 that
se 	 pronoun 	 w:Ælfric of Eynsham 	 * late 10th century, Ælfric
se 	 pronoun 	 the one 	 the one / that one
se 	 pronoun 	 that one 	 the one / that one
se 	 pronoun 	 who 	 ' that, who, what
se 	 pronoun 	 that 	 ' that, who, what
se 	 pronoun 	 what 	 ' that, who, what
se 	 pronoun 	 w:Alfred the Great 	 * c. 900, King Alfred's  of The Consolation of Philosophy
la 	 interjection 	 Ah 	 Lo! Oh! Ah!
la 	 interjection 	 Lo 	 Lo! Oh! Ah!
la 	 interjection 	 Oh 	 Lo! Oh! Ah!
sole 	 noun 	 shoe 	 shoe, sandal
sole 	 noun 	 sandal 	 shoe, sandal
ra 	 noun 	 roe deer 	 roe deer, roebuck
ra 	 noun 	 roebuck 	 roe deer, roebuck
ac 	 noun 	 oak 	 oak
ac 	 conjunction 	 but 	 but
pis 	 adjective 	 heavy 	 heavy, weighty
pis 	 adjective 	 weighty 	 heavy, weighty
tien 	 numeral 	 ten 	 cardinal numbers ten
mus 	 noun 	 mouse 	 mouse
mus 	 noun 	 muscle 	 muscle
ea 	 noun 	 river 	 river
ea 	 noun 	 stream 	 running water, stream
ea 	 noun 	 running water 	 running water, stream
ele 	 noun 	 oil 	 oil
side 	 adverb 	 widely 	 widely
side 	 noun 	 silk 	 silk
gear 	 noun 	 year 	 year
gear 	 noun 	 w:Anglo-Saxon Chronicle 	 * year=c. 9-12 AD|title=Anglo-Saxon Chronicle|passage=Ðis wæs feorþes geares his rices|translation=This was in the fourth year of his reign
bar 	 noun 	 boar 	 boar
