#swadesh 207 id	part-of-speech	English	Proto-Indo-European	Proto-Germanic	Proto-Italic	Proto-Indo-Iranian	Proto-Balto-Slavic	Proto-Slavic		 Latin 	Portuguese 	Spanish 	French 	Italian	Romanian
131	verb	rub	*melh₂-	*nū(w)aną	*terō		*térˀtei, *tírˀtei	*terti		fricāre	esfregar	frotar, fregar	frotter, frayer (obs.)	fregare, sfregare, frizionare	freca
132	verb	wash	*lewh₃-, *neygʷ-	*waskaną, *þwahaną	*lawaō			*myti		lavāre	lavar	lavar	laver	lavare	la, spăla
133	verb	wipe		*wīpōną	*tergēō			*brъsati, *brysati		tergēre, exsucāre, extergēre (to clean)	enxugar	restregar, enjugar	essuyer	asciugare, tergere for surfaces	șterge
134	verb	pull	*tragʰ-	*tugōną	*traɣō		*tengtei, *welktei	*dьrpati, *tęťi, *vaditi		trahere	tirar	tirar, halar, jalar (colloq.)	tirer	tirare, trainare	trage
135	verb	push		*þrukkijaną, *skeubaną	*worgēō		*ráiˀtei	*butati, *pьxati, *rinǫti		pellere, urgere, pulsāre, impulsāre, impingere	empurrar	empujar	pousser	spingere	împinge
136	verb	throw	*swep-	*werpaną	*jakjō		*mestei, *wérˀgtei	*kydati, *mesti, *metati, *verťi		iacere, iactāre, lanceāre (to throw a speer)	lançar	lanzar, echar	jeter, lancer	gettare, lanciare	arunca
137	verb	tie		*bindaną	*leigāō			*verzti, *vьrzati, *vęzati		ligāre, stringere, aptāre (to fasten)	atar	atar	lier	legare, attaccare (only for some dialects)	lega
138	verb	sew	*syuh₁-	*siwjaną, *nēaną	*sūō		*sjū́ˀtei	*šiti		suere, cōnsuere	coser	coser	coudre	cucire	coase
139	verb	count	*dol-, *del-	*raþjaną	*nomezō		*(s)keistéi, *(s)keitā́ˀtei	*čisti		numerāre, computāre (count down / calculate)	contar	contar	compter	contare	număra
140	verb	say	*sekʷ-, *wéwket	*kweþaną, *sagjaną	*deikō	*Háwǰʰati, *wákti, *mráwHti	*sákīˀtei	*reťi, *věťati		dīcere	dizer	decir	dire	dire	zice
