						
father (of the same) 	*somo-ph8a to ̄r					
father-in-law 	*swe ́kˆuros					
father’s brother 	*ph8a tr̥wyos					
father’s mother 	*h₂en-					
fatigued 	*streug-				E *kl̥hₓ m(-s)-	
fault 	*me ́les-					
favour 	*d(h₃)eu-, *h₃ens-, *hₐ eu-, *teu-					
fear 	*bhibho ́ihₓ e, *dwei-, *hₐ e ́ngˆhes-, *kʷ eh₁(i)-, *perk-, *tres-					
feather 	*pet(e)r-, *(s)porno ́m					
feed 	*pen-					
felt 	*peld-		WC *pildo-			
fence 	*gho ́rdhos					
ferment 	*kʷat-					
ferocity 	*rabh-					
few 			WC *pau-			
field 	*hₐegˆros, *hₐ e ́rh₃ wr̥					
fifteen 	*penkʷ e dekˆm̥ (t)					
fifth 	*pn̥kʷ to ́s					
fifty 	*penkʷ e ̄-kˆomt(hₐ)					
fight 	*hₐegˆ-, *yeudh-	NW *katu-,  *nant-,  *weik-				
fighter 	*yeudhmo ́s					
fill 	*pelh₁-, *seh₂(i)-, *speh₁-					
finch 			WC/PIE? *(s)pingo-			
find 			WC *wer-			
find one’s way 	*pent-					
fine (punishment) 	*kʷ ei-					
finger 		NW *po ́lik(o)s				
fir 	*dhonu-		WC *hₐebi-			
fire 	*g(e)ulo-, *h₂ e ́hₓ tr̥, *hₐ eidh-, *hₓ n̥gʷ nis, *pe ́h₂ur					
firm 	*pastos, *tenk-					
first 	*per(hₓ)-					
fish 	*pikˆskˆos		WC *dhgˆhuhₓ-			
fish (kind of) 	*kˆo ́nkus					
fish (small) 			WC *mn̥hₓ-			
fish eggs 		NW *krek-				
fissure 				GA *ka ́iwr̥(t)		
fist 		NW *pn̥(kʷ)stı ́-			E *mustı ́-	
fit 	*ghedh-, *hₐ e ́r(hₓ)-					
fit (suit) 		NW *kob-				
fitting 	*hₐ e ́rtus					
five 	*pe ́nkʷ e					
fixed 	*sth₂ei-					
flank 	*pokso ́s					
flat 	*plehₐ k-					
flax 			WC *linom			
flay 	*der-					
flea 	*plus-					
flee 			WC *bheug-			
fleece 	*moiso ́s, *re ́umn-					
float 	*pleu-					
flock 	*wre ̄tos					
floor 	*telhₓ om		WC *dm̥ pedom			
flow 	*dhen-, *gʷ el(s)-, *h₁ ers-, *hₐ el-, *leh₂-, *sreu-, *tek-		WC *del-,  *ser-	GA *dhgʷ her-		
flower 	*h₂ e ́ndhes-	NW *bhlohₓ dho-				
flowing (in river names) 			WC *sreumen-			
fly (insect) 			WC *mus/hₓ-			
fly (verb) 	*dih₁-, *pet-			GA *pethₐ-		
foam 	*spohₓ ino/ehₐ					
fold 	*pel-					
follow 	*sekʷ-, *wreg-					
follower 	*so ́kʷ-h₂-o ̄i					
following 	*sekʷo-		WC *pos			
food 	*h₁ edonom					
foot 	*po ̄ ́ds, *lehₐpehₐ-					
footprint 	*pedom					
forearm 	*bhₐ ̄gˆhus, *h₃ elVn-		WC *h₃elek-			
forehead 	*bho ́lom-, *h₂ent-					
foreleg 	*bhₐ ̄gˆhus					
forest 	*gʷ orhₓ-	NW *widhu				
forget 	*mer-, *mers-					
fork 		NW *ghₐbhlo/ehₐ-				
fort 	*dhı ́gˆhs, *pelhₓ-, *wriyo/ehₐ	NW *dhu ̄nos	WC *bhergˆh-			
forward 	*pro					
foul 			WC *gʷ eidh-			
four 	*kʷ etwo ́res					
fourth 	*kʷ turyo ́s ~ *kʷ etwor-tos					
fox 	*wl(o)p-					
framework 	*kˆred-					
freeze 	*preus-	NW *gel-				
fresh 	*ken-					
friendly 		NW *kehₐ ros				
frighten 	*gˆheis-					
frightening 			WC *gargˆos			
frog 			WC *worhₓ di/o-			
frogspawn 		NW *krek-				
front 	*h₂enti, *pr̥hₐ e ́h₁, *pr̥hₐe ́i, *pro ́ti-h₃(o ̄)kʷ-o/ehₐ-					
frost 			WC *srı ̄ges-			
fruit 	*hₐo ́gehₐ-, *ses(y)o ́-		WC *h₁ o ́iwo/ehₐ-,  *sre/ohₐ gs			
full 	*pl̥h₁ no ́s					
furrow 		NW *l(o)isehₐ-,  *pr ́8kˆehₐ-	WC *worwos			
gall 	*gˆho ́ln- ~ *gˆho ́los					
gamebird 	*teter-					
gap 	*gˆho ́h₁ ros					
gape 	*gˆhehₐw-					
garden 	*kˆa ̄pos					
garlic 			WC *kremhₓ us			
gate 	*dhwo ̄ ́r					
gather 	*kr(e)u-bh-, *legˆ-		WC *ger-,  *h₂ merg-			
generation marker (fourth) 	*h₄ep-					
generation marker (third) 	*pro-					
gift 	*de ́h₃r/n-					
gird 	*gherdh-, *kenk-, *ye ́h₃ s-					
give 	*deh₃-, *hₐ ei-, *reh₁-					
give way 				GA *tyegʷ-		
glance at 	*derkˆ-					
gland 	*gʷ e ́n-		WC *ghelgˆhehₐ-			
gleam 	*bherhₓ gˆ-					
glide 	*dhregˆ-					
