	latitude	longitude	code	name	pattern	family	genus	Vso	Vsom	Vson	Vsoq	Vsow	Nprgdna
379	5.5	-5.5	ega	Ega		Niger-Congo	Ega	sVo	sVom	sVon	sVoq		   g  Na# d  
1065	6.58333333333	8.58333333333	nke	Nkem		Niger-Congo	Ekoid-Mbe	sVo	sVo 	snVnˀ¹o	sVoq	sVo	     aNa  d  
418	5.66666666667	-0.166666666667	ga	Gã		Niger-Congo	Ga-Dangme	sVo	sVo 	sVⁿo			  dg  Na     
429	4.7	14.96	gbs	Gbaya (Southwest)		Niger-Congo	Gbaya-Manza-Ngbaka	sVo	sVo 	sVon		sVo	     aN #gd  
428	6.66666666667	17.5	gbb	Gbeya Bossangoa		Niger-Congo	Gbaya-Manza-Ngbaka	sVo	sVom	snVnˀ¹o	sVoq	sVo	p    aN #gdr 
856	4.5	15.5	mdo	Mbodomo		Niger-Congo	Gbaya-Manza-Ngbaka	sVo	sVo 	sVon	sVoq		p    aN #gdr 
1040	3.5	20.0	ngb	Ngbaka (Minagende)		Niger-Congo	Gbaya-Manza-Ngbaka	sVo	sVom	sVo	sVoq	sVo	p     N #gd  
32	7.0	1.75	ajg	Ajagbe		Niger-Congo	Gbe	soVo	soVo 	sonVn¹o	soVoq		   g  Na#gdrp
402	6.33333333333	0.416666666667	ewe	Ewe		Niger-Congo	Gbe	sVo	sVo 	snVnꜝ¹o	sVoq	sVo	   g  Na# drp
408	6.41666666667	2.16666666667	fon	Fongbe		Niger-Congo	Gbe	sVo	sVo 	snVo			p     Na#gdrp
478	6.5	2.5	guw	Gungbe		Niger-Congo	Gbe	sVo	sVo 	sVo	sVoq		p  g  Na g  p
603	9.66666666667	1.16666666667	kby	Kabiyé		Niger-Congo	Grusi	sVo	sVo 	sⁿVo	sVoq		p  g  Na     
715	11.25	-1.25	ksm	Kasem		Niger-Congo	Grusi	sVo	sVom	sVo	sVoq	sVo	      N      
1331	10.8333333333	-2.66666666667	ssa	Sisaala		Niger-Congo	Grusi	sVo	sVo 	snVo			      N      
531	6.91666666667	7.5	ido	Idoma		Niger-Congo	Idomoid	*	* 	*			      N   d  
536	7.0	8.16666666667	ige	Igede		Niger-Congo	Idomoid	sVo	sVom	sVon	sVoq	sVo	      Na# d  
535	6.0	7.33333333333	igb	Igbo		Niger-Congo	Igboid	sVo	sVom	sVo		sVo	p     Na#gdr 
563	6.33333333333	8.0	izi	Izi		Niger-Congo	Igboid	sVo	sVom	snVnꜝ¹o	sVoq	sVo	p   #aNa#gdr 
346	13.0	-16.25	dio	Diola-Fogny		Niger-Congo	Jola	sVo	sVo 	sVⁿo		sVo	p     Na#gdr 
584	6.91666666667	10.4166666667	juk	Jukun		Niger-Congo	Jukunoid	sVo	sVom	sVon	sVoq	sVo	p     Na#gdr 
636	10.25	-4.83333333333	kir	Kirma		Niger-Congo	Kirma-Tyurama	sVo	sVo 	snVo		sVo	   g  Na# drp
613	14.25	-0.916666666667	kfe	Koromfe		Niger-Congo	Koromfe	sVo	sVom	snVo	sVoq	wsVo	p  g  Na# drp
325	5.25	-5.66666666667	ddj	Dadjriwalé		Niger-Congo	Kru	soVo	soVo 	soVo			      Na  dr 
460	5.0	-8.0	grb	Grebo		Niger-Congo	Kru	sVo	sVom	snoV	qsVo	wsVo	   g  Na# drp
646	4.75	-8.75	kla	Klao		Niger-Congo	Kru	sVo	sVo 	snoV			   g aNa     
1037	5.0	-6.0	ney	Neyo		Niger-Congo	Kru	soVo	soVo 	soVo	soVoq	wsoVo	   g  Na# dr 
1111	4.58333333333	7.83333333333	obo	Obolo		Niger-Congo	Lower Cross	sVo	sVom	sⁿVo	qsVo	sVo	p    aNa#gdr 
903	6.75	11.5	mla	Mambila		Niger-Congo	Mambiloid	sVo	sVo 	sVo			      Na g   
840	7.75	13.1666666667	mbm	Mbum		Niger-Congo	Mbumic	sVo	sVo 	sVon	sVoq	sVo	p     Na#gdr 
852	9.66666666667	14.5	mdg	Mundang		Niger-Congo	Mbumic	sVo	sVom	sVon			p     Na#gdr 
1448	10.1666666667	14.75	tpr	Tupuri		Niger-Congo	Mbumic	sVo	sVo 	sVon			p     Na# d  
978	9.0	11.6666666667	mum	Mumuye		Niger-Congo	Mumuye-Yandang	sVo	sVo 	snVnˀ¹o	sVoq	sVo	p  g  Na#gdr 
793	7.33333333333	0.5	llm	Lelemi		Niger-Congo	Na-Togo	sVo	sVo 	sⁿVo			   g  Na# d p
150	10.5	-14.5	bgs	Baga Sitemu		Niger-Congo	Northern Mel	sVo	sVo 	sVo		wsVo	      N   d p
1432	8.66666666667	-13.0833333333	tne	Temne		Niger-Congo	Northern Mel	sVo	sVo 	sVⁿo	sVoq	wsVo	p     Na#gdr 
376	8.16666666667	7.0	ebi	Ebira		Niger-Congo	Nupoid	sVo	sVo 	snVo			      N      
479	9.5	7.0	gwa	Gwari		Niger-Congo	Nupoid	soVo	soVo 	sonVnꜝ¹o	soVoq	soVo	p  g  Na# drp
1097	9.16666666667	5.41666666667	nup	Nupe		Niger-Congo	Nupoid	sVo	sVom	sVon			p     Na#gdr 
457	4.58333333333	7.33333333333	gok	Gokana		Niger-Congo	Ogonoid	sVo	sVo 	snVo	qsVo	sVo	p   #aN  gdr 
592	4.75	7.41666666667	kan	Kana		Niger-Congo	Ogonoid	sVo	sVo 	snVo		sVo	p   #aNa gdr 
181	10.5	0.0	bmb	Bimoba		Niger-Congo	Oti-Volta	sVo	sVom	snVnˀ¹o		sVo	p  g  N # drp
234	10.5	-1.25	buy	Buli (in Ghana)		Niger-Congo	Oti-Volta	sVo	sVo 	snVnꜝ¹o			      N      
331	10.5	-2.66666666667	dga	Dagaare		Niger-Congo	Oti-Volta	sVo	sVo 	snVo			   g  Na# d p
332	9.58333333333	-0.5	dgb	Dagbani		Niger-Congo	Oti-Volta	sVo	sVo 	snVo		wsVo	   g  Na# d p
673	10.25	-1.58333333333	kni	Konni		Niger-Congo	Oti-Volta	sVo	sVo 	snVo		sVo	p  g  N # drp
935	12.8333333333	-1.25	moo	Mooré		Niger-Congo	Oti-Volta	sVo	sVom	snVnꜝ¹o	sVoq	sVo	p  g  Na# ᵈ p
1023	9.33333333333	0.666666666667	ncm	Ncàm		Niger-Congo	Oti-Volta	sVo	sVo 	snVo	sVoq	sVo	p  g  Na# drp
1572	10.5833333333	1.66666666667	wwa	Waama		Niger-Congo	Oti-Volta	sVo	sVo 	sVo	sVoq	sVo	   g  N # d  
413	9.16666666667	13.5	fua	Fulfulde (Adamawa)		Niger-Congo	Peul-Serer	sVo	sVom	sVⁿo	sVoq	wsVo	p     Na#gdr 
364	8.66666666667	13.0833333333	doy	Doyayo		Niger-Congo	Samba-Duru	sVo	sVo 	sV¹⁰&nVnꜝ¹o	sVoq	sVo	p  g  Na#  rp
1300	8.5	12.5	sle	Samba Leko		Niger-Congo	Samba-Duru	sVo	sVo 	sVo	sVoq	sVo	   g  Na# drp
1343	11.5	-5.58333333333	sup	Supyire		Niger-Congo	Senufo	soV	soVm	sonVnˀ¹	soVq		  dg  Na#  ⁸p
637	8.83333333333	-10.1666666667	kis	Kisi		Niger-Congo	Southern Mel	soVo	soVo 	sonVnꜝ¹o		wsoVo	p     Na#gdr 
34	6.5	-1.25	akn	Akan		Niger-Congo	Tano	sVo	sVo 	sⁿVo		sVo	p  g  Na# d p
69	10.0833333333	0.25	anu	Anufo		Niger-Congo	Tano	sVo	sVo 	sVno	sVoq	sVo	  dg  Na#  r 
107	7.0	-3.5	ayi	Anyi		Niger-Congo	Tano	sVo	sVom	sVo			   g  Na     
172	7.0	-5.0	ble	Baoulé		Niger-Congo	Tano	sVo	sVo 	snVnꜝ¹o		sVo	      Na# d p
1067	7.16666666667	0.25	nkn	Nkonya		Niger-Congo	Tano	sVo	sVo 	sⁿVo	sVoq	sVo	   g  Na# drp
1403	5.83333333333	11.6666666667	tik	Tikar		Niger-Congo	Tikar	*	* 	*			      Na#gd  
1408	7.5	9.0	tiv	Tiv		Niger-Congo	Tivoid	sVo	sVo 	sVon			p    aNa gd  
122	2.58333333333	13.5833333333	bak	Baka (in Cameroon)		Niger-Congo	Ubangi	sVo	sVom	sVon			p    aN #gd  
131	3.5	27.0	bbu	Barambu		Niger-Congo	Ubangi	sVso	sVso 	ⁿVson			p    aN #gdr 
333	3.0	30.0	dgo	Dongo		Niger-Congo	Ubangi	soVo	soVo 	sVon			      Na#gd  
801	6.5	20.75	lnd	Linda		Niger-Congo	Ubangi	sVo	sVo 	snVnꜝ¹o	sVoq	sVo	p    aN #gdr 
815	3.5	28.0	ma	Ma		Niger-Congo	Ubangi	sVo	sVo 	snVnꜝ¹o			  d  aN #gd  
996	3.0	29.0	myg	Mayogo		Niger-Congo	Ubangi	sVo	sVo 	sVon			p    aN #gdr 
836	1.0	25.0	mba	Mba		Niger-Congo	Ubangi	sVo	sVo 	sVn¹o		sVo	   g  Na# ᵈ  
868	2.25	21.5	mga	Mondunga		Niger-Congo	Ubangi	sVo	sVom	snVⁿo		sVo	p     Na#g r 
1020	3.56	18.36	nbm	Ngbaka (Ma'bo)		Niger-Congo	Ubangi	sVo	sVo 	sVon	sVoq	sVo	      N      
1026	3.75	22.0	ndi	Ngbandi		Niger-Congo	Ubangi	sVo	sVo 	sVo		sVo	p     Na#gd  
1108	5.0	23.0	nza	Nzakara		Niger-Congo	Ubangi	sVo	sVo 	sVon		sVo	p    aN #gdr 
1245	5.0	18.0	san	Sango		Niger-Congo	Ubangi	sVo	sVom	sVon	sVoq	sVo	p    aN #gdr 
1627	4.0	26.0	zan	Zande		Niger-Congo	Ubangi	sVo	sVo 	snVnꜝ¹o		sVo	p dg aN #gdꜝoun  
24	6.0	8.0	agb	Leggbó		Niger-Congo	Upper Cross	sVo	sVo 	soⁿV			      Na#gd  
27	6.66666666667	10.0	agh	Aghem		Niger-Congo	Wide Grassfields	sVo	sVo 	snVn¹o			      Na#gd  
115	6.11666666667	10.4166666667	bab	Babungo		Niger-Congo	Wide Grassfields	sVo	sVo 	snVnꜝ¹o	sVoq		p     Na# dr 
118	6.25	9.91666666667	baf	Bafut		Niger-Congo	Wide Grassfields	sVo	sVo 	nsnoV			p     Na     
900	6.0	10.1666666667	mkq	Mankon		Niger-Congo	Wide Grassfields	sVo	sVo 	sVo			      N   d  
838	6.11666666667	10.2	mbi	Mbili		Niger-Congo	Wide Grassfields	sVo	sVom	snoV		sVo	      Na  d  
872	5.91666666667	10.0	mgk	Mungaka		Niger-Congo	Wide Grassfields	sVo	sVo 	snVnˀ¹o	sVoq		    # Na#    
1544	15.25	-16.0	wlf	Wolof		Niger-Congo	Wolof	sVo	sVom	snVⁿo	qsVo	wsVo	p   # Na gdr 
1063	53.3333333333	142.0	niv	Nivkh		Nivkh	Nivkh	soV	soV 	sonVnˀ¹	soVq	soV	 rdg#aN #   p
1241	1.16666666667	127.5	sah	Sahu		North Halmaheran	North Halmaheran	sVo	sVo 	sVn¹o		sVo	p  g  Na# dr 
1401	0.75	127.5	tid	Tidore		North Halmaheran	North Halmaheran	sVo	sVom	snVnˀ¹o		sVo	p  g  Na# dr 
1418	1.5	128.5	tlo	Tobelo		North Halmaheran	North Halmaheran	soV	soV 	soVⁿ			p  g  N # d  
1549	0.5	127.583333333	wma	West Makian		North Halmaheran	North Halmaheran	sVo	sVom	sVon		sVo	p  g  Na# dr 
1487	-13.0	130.333333333	tye	Tyeraity		Northern Daly	Northern Daly	soV	soV 	sonVnꜝ¹			   g  N      
4	43.0833333333	41.0	abk	Abkhaz		Northwest Caucasian	Northwest Caucasian	soV	smoV	soⁿVⁿ		soV	 rdg# Na#   p
20	45.2333333333	40.5833333333	ady	Adyghe (Abzakh)		Northwest Caucasian	Northwest Caucasian	soV	soV 	soV			  ᵈ   Na    p
587	43.5	43.5	kab	Kabardian		Northwest Caucasian	Northwest Caucasian	soV	soV 	soVⁿ		soV	 rdg  N     p
1490	43.6666666667	39.6666666667	uby	Ubykh		Northwest Caucasian	Northwest Caucasian	soV	soV 	soⁿVⁿ			 rᵈg#aN     p
1105	-18.0	124.333333333	nyn	Nyigina		Nyulnyulan	Nyulnyulan	*	* 	*			  dg  N  g   
1567	-17.5	123.5	wrw	Warrwa		Nyulnyulan	Nyulnyulan	*	* 	*			p dg#aN   d p⁴
1623	-18.0	122.5	ywr	Yawuru		Nyulnyulan	Nyulnyulan	*	* 	*			p    aN  g  p⁴
294	43.5	-124.166666667	coo	Coos (Hanis)		Oregon Coast	Coosan	*	* 	*	*q	w*	  dg#aN  g rp
1290	44.0	-124.0	siu	Siuslaw		Oregon Coast	Siuslawan	*	* 	*		w*	  dg#aN  g   
251	17.5833333333	-96.4166666667	ccm	Chinantec (Comaltepec)		Oto-Manguean	Chinantecan	Vso	Vsom	ⁿVso	qVso	wVso	p   # Na gdr 
279	17.3333333333	-95.9166666667	cle	Chinantec (Lealao)		Oto-Manguean	Chinantecan	Vos	Voms	nVos	qVos	wVos	p   # Na gdr 
298	18.8333333333	-96.75	cpl	Chinantec (Palantla)		Oto-Manguean	Chinantecan	Vso	Vsom	ⁿVso		wVso	p   # Na gdr 
270	17.5833333333	-96.6666666667	chq	Chinantec (Quiotepec)		Oto-Manguean	Chinantecan	Vso	Vso 	nVso	qVso	wVso	p d # Na gdr 
1112	18.9166666667	-99.6666666667	ocu	Ocuilteco		Oto-Manguean	Matlatzincan	sVo	sVom	sⁿVo	qsVo	wsVo	p dg#aN  g   
989	17.05	-97.5833333333	mxc	Mixtec (Chalcatongo)		Oto-Manguean	Mixtec	Vso	Vsom	nVso		wVso	p   # Na gdr 
991	16.3333333333	-98.0	mxj	Mixtec (Jicaltepec)		Oto-Manguean	Mixtec	Vso	Vsom	nVso	Vsoq	wVso	p   # Na  d  
992	17.1666666667	-97.75	mxo	Mixtec (Ocotepec)		Oto-Manguean	Mixtec	Vso	Vsom	nVso	qVso	wVso	p   # Na gdr 
993	17.0833333333	-96.9166666667	mxp	Mixtec (Peñoles)		Oto-Manguean	Mixtec	Vso	Vsom	nVso	Vsoq	wVso	p   # Na gᵈr 
995	16.9166666667	-97.5833333333	mxy	Mixtec (Yosondúa)		Oto-Manguean	Mixtec	Vso	Vsom	Vso	Vsoq	wVso	p   # Na gdr 
1134	20.1666666667	-99.1666666667	otm	Otomí (Mezquital)		Oto-Manguean	Otomian	Vos	Voms	nVos	qVos	wVos	p d #aN  g r 
1142	22.0	-99.5	pam	Pame		Oto-Manguean	Pamean	sVo	sVo 	sVo		wsVo	  d # Na     
1002	18.25	-96.8333333333	mzh	Mazatec (Huautla)		Oto-Manguean	Popolocan	*	* 	*	q*	w*	p     N      
1419	17.0833333333	-99.0	tlp	Tlapanec		Oto-Manguean	Subtiaba-Tlapanec	Vso	Vsom	ⁿVso	qVso	wVso	p   # Na gdr 
1452	17.1666666667	-97.9166666667	tri	Trique (Copala)		Oto-Manguean	Trique	Vso	Vsom	nVso	Vsoq	wVso	p   # Na gdr 
307	16.25	-97.3333333333	cso	Chatino (Sierra Occidental)		Oto-Manguean	Zapotecan	Vso	Vsom	nVso	Vsoq	wVso	p   # Na gdr 
317	16.25	-97.25	cya	Chatino (Yaitepec)		Oto-Manguean	Zapotecan	Vso	Vso 	nVso		wVso	p   # Na gdr 
1626	16.416667	-95.0	zai	Zapotec (Isthmus)		Oto-Manguean	Zapotecan	Vso	Vso 	nVso	Vsoq	wVso	p   # Na gdr 
1628	16.8	-96.25	zap	Zapotec (Mitla)		Oto-Manguean	Zapotecan	Vso	Vsom	ⁿVso	qVso	wVso	p   # Na gd  
1643	17.25	-96.25	zzo	Zapotec (Zoogocho)		Oto-Manguean	Zapotecan	Vso	Vso 	nVso		Vso	    # Na  dr 
19	-30.5	139.5	adn	Adynyamathanha		Pama-Nyungan	Central Pama-Nyungan	*	* 	*			   g aN     p
43	-22.5	135.0	aly	Alyawarra		Pama-Nyungan	Central Pama-Nyungan	soV	soV 	soVⁿ			      Na#gdrp
5	-28.25	136.25	abn	Arabana		Pama-Nyungan	Central Pama-Nyungan	soV	soV 	sonV¹			   g  Na g   
55	-24.0	136.0	amp	Arrernte (Mparntwe)		Pama-Nyungan	Central Pama-Nyungan	soV	soV 	soVⁿ			      Na# drp
347	-28.0	139.0	diy	Diyari		Pama-Nyungan	Central Pama-Nyungan	soV	soVm	sonV¹		wsoV	  dg  Na#  ³ 
549	-27.75	140.75	inn	Innamincka		Pama-Nyungan	Central Pama-Nyungan	soV	soV 	nsoV			      Na# d p
1158	-32.5	142.5	pkn	Paakantyi		Pama-Nyungan	Central Pama-Nyungan	sVo	sVo 	nsVo		wsVo	  d #aN   d  
1179	-22.8333333333	140.0	ppi	Pitta Pitta		Pama-Nyungan	Central Pama-Nyungan	*	* 	*		w*	   g  Na     
1525	-27.3333333333	143.0	wan	Wangkumara		Pama-Nyungan	Central Pama-Nyungan	*	* 	*		w*	  d  aNa  d  
29	-12.3333333333	141.833333333	agt	Anguthimri		Pama-Nyungan	Northern Pama-Nyungan	soV	somV	soV			      Na# d  
157	-20.5	146.5	bii	Biri		Pama-Nyungan	Northern Pama-Nyungan	sVo	sVo 	snVn¹o		sVo	  dg#aN    r 
336	-22.75	150.5	dhb	Dharumbal		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	soV		wsoV	   g  N      
348	-16.75	145.583333333	dja	Djabugay		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	sonV¹		soV	  d   N   d  
375	-17.8333333333	145.583333333	dyi	Dyirbal		Pama-Nyungan	Northern Pama-Nyungan	*	* 	*		*	  dg  Na#  r 
477	-15.0	144.833333333	guu	Guugu Yimidhirr		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	sonV		soV	  dg  Na#g   
616	-21.0	139.5	kgu	Kalkatungu		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	soV		wsoV	   g# Na     
743	-16.0	145.0	kya	Kuku-Yalanji		Pama-Nyungan	Northern Pama-Nyungan	soV	soVm	sonV¹	qsoV		p dg# Na gd³ 
1397	-14.5833333333	141.833333333	thy	Kuuk Thaayorre		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	sonV		soV	p     Na#gdrp⁴
925	-27.0	144.5	mny	Margany		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	nsoV	qsoV	wsoV	   g  N      
1052	-19.0	141.5	ngw	Ngawun		Pama-Nyungan	Northern Pama-Nyungan	sVo	sVo 	nsVo		wsVo	  d #aNa     
1494	-11.9166666667	142.416666667	uhi	Uradhi		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	soV		soV	  dg  Na     
1562	-18.5833333333	146.083333333	wrg	Warrgamay		Pama-Nyungan	Northern Pama-Nyungan	*	* 	*		*	 r    N    r 
1551	-13.9166666667	141.75	wmu	Wik Munkan		Pama-Nyungan	Northern Pama-Nyungan	soV	soV 	sonV¹		soV	   g  Na# d  
1552	-13.9166666667	141.5	wn	Wik Ngathana		Pama-Nyungan	Northern Pama-Nyungan	osV	osV 	osV	osVq		      Na  d  
1598	-17.0	145.75	yid	Yidiny		Pama-Nyungan	Northern Pama-Nyungan	soV	soVm	sonV		soV	  dg  Na# d³ 
438	-28.4166666667	152.416666667	gid	Gidabal		Pama-Nyungan	Southeastern Pama-Nyungan	*	* 	*		w*	  d  aN      
475	-30.1666666667	152.5	gum	Gumbaynggir		Pama-Nyungan	Southeastern Pama-Nyungan	*	* 	*		*	   g aNa g r 
435	-25.25	151.0	ggu	Gureng Gureng		Pama-Nyungan	Southeastern Pama-Nyungan	*	* 	*		*	  d   Na  d  
854	-34.5	143.5	mdm	Madimadi		Pama-Nyungan	Southeastern Pama-Nyungan	*	* 	*			p dg aN      
960	-28.75	147.0	mrw	Muruwari		Pama-Nyungan	Southeastern Pama-Nyungan	*	* 	*	q*	w*	   g aN      
1570	-38.0	144.0	wth	Wathawurrung		Pama-Nyungan	Southeastern Pama-Nyungan	Vos	Vos 	Vos	qVos		      Na     
1538	-35.3333333333	144.0	wem	Wembawemba		Pama-Nyungan	Southeastern Pama-Nyungan	Vos	Voms	nVos		wVos	p dg aN     p
1621	-29.5	148.0	yuw	Yuwaalaraay		Pama-Nyungan	Southeastern Pama-Nyungan	soV	soV 	nsoV	qsoV	wsoV	  dg aN  g ⁵ 
135	-27.6666666667	118.0	bdm	Badimaya		Pama-Nyungan	Western Pama-Nyungan	soV	soV 	sonV¹		wsoV	  dg# Na#    
339	-23.75	114.916666667	dhr	Dhargari		Pama-Nyungan	Western Pama-Nyungan	*	* 	*			  d   N   d  
350	-12.1666666667	135.5	djm	Djambarrpuyngu		Pama-Nyungan	Western Pama-Nyungan	*	* 	*		*	  dg aNa g r 
352	-12.6666666667	136.0	djp	Djapu		Pama-Nyungan	Western Pama-Nyungan	soV	soVm	nsoV	qsoV		  dg# N #g   
353	-18.75	128.0	djr	Djaru		Pama-Nyungan	Western Pama-Nyungan	*	* 	*		w*	  d  aNa     
351	-12.3333333333	134.833333333	djn	Djinang		Pama-Nyungan	Western Pama-Nyungan	*	* 	*			  dg  Na     
471	-30.0	134.0	gug	Gugada		Pama-Nyungan	Western Pama-Nyungan	soV	soV 	sonVⁿ		soV	      Na  d  
958	-20.8333333333	116.5	mrt	Martuthunira		Pama-Nyungan	Western Pama-Nyungan	sVo	sVom	snVo		wsVo	  dg# Na g ³ 
1090	-26.0	126.5	ntj	Ngaanyatjarra		Pama-Nyungan	Western Pama-Nyungan	soV	soV 	soVⁿ		soV	   g  Na# d p
1054	-27.0	114.166666667	nha	Nhanda		Pama-Nyungan	Western Pama-Nyungan	*	* 	*		*	      N      
1171	-22.8333333333	118.416666667	pny	Panyjima		Pama-Nyungan	Western Pama-Nyungan	*	* 	*			  dg#aNa g   
1220	-12.8333333333	135.5	rit	Ritharngu		Pama-Nyungan	Western Pama-Nyungan	*	* 	*	*q	w*	      N      
1564	-20.0	132.333333333	wrl	Warlpiri		Pama-Nyungan	Western Pama-Nyungan	*	* 	*			      Na   ³ 
1547	-22.0	138.5	wlw	Warluwara		Pama-Nyungan	Western Pama-Nyungan	soV	soV 	nsoV		wsoV	      N      
1600	-21.75	117.916666667	yin	Yindjibarndi		Pama-Nyungan	Western Pama-Nyungan	sVo	sVo 	snVo	sVoq	wsVo	p dg#aNa    p
1606	-25.1666666667	114.833333333	yng	Yingkarta		Pama-Nyungan	Western Pama-Nyungan	sVo	sVo 	snVo			  d #aN      
750	-3.75	141.083333333	kyr	Karkar-Yuri		Pauwasi	Eastern Pauwasi	soV	somV	soVⁿn¹		soV	  dg aNa    p
1583	-3.5	-72.0	yag	Yagua		Peba-Yaguan	Peba-Yaguan	*	* 	*		w*	  dg# Na   rp
1139	2.66666666667	-76.0	pae	Páez		Páezan	Páezan	soV	soV 	soVⁿ			  dg# Na    p
1200	-9.5	-75.5	qhu	Quechua (Huallaga)		Quechuan	Quechuan	soV	soV 	sonVnꜝ¹		soV	 rdg#aN     p
1202	0.333333333333	-78.0	qim	Quechua (Imbabura)		Quechuan	Quechuan	soV	smoV	sonV¹	soVq	wsoV	 rdg#aN     p
259	-4.16666666667	143.083333333	chb	Chambri		Ramu-Lower Sepik	Lower Sepik	soV	soV 	sonVnꜝ¹			      Na     
1208	-4.75	144.5	rao	Rao		Ramu-Lower Sepik	Rao	soV	soV 	soVⁿ		soV	   g  Na     
630	-4.25	144.75	kie	Kire		Ramu-Lower Sepik	Ruboni	soV	soV 	soVn			  ᵈ   Na#   p
1625	16.0	23.0	zag	Beria		Saharan	Eastern Saharan	soV	soV 	soVⁿ			   g  Na#gdrp
601	14.0	15.0	kbu	Kanembu		Saharan	Western Saharan	soV	soV 	soV			      N  g   
678	12.0	13.0	knr	Kanuri		Saharan	Western Saharan	soV	somV	soVⁿ		wsoV	      Na#gdrp
1371	16.0	15.0	tbu	Tubu		Saharan	Western Saharan	soV	soV 	soVⁿ	soVq	wsoV	      Na#gdrp
134	52.5	-126.666666667	bco	Bella Coola		Salishan	Bella Coola	Vso	Vso 	nVso			p    aN  gdr 
503	49.25	-121.916666667	hlu	Halkomelem (Upriver)		Salishan	Central Salish	Vso	Vso 	nVso			p d #aN      
967	49.1666666667	-123.0	msq	Musqueam		Salishan	Central Salish	Vso	Vso 	nVso			p d #aN  g   
1324	49.6666666667	-123.166666667	squ	Squamish		Salishan	Central Salish	Vso	Vso 	nVso			prd #aN  g r 
652	48.0	-117.0	kls	Kalispel		Salishan	Interior Salish	Vso	Vso 	nVso			  d   N  g   
787	50.75	-122.0	lil	Lillooet		Salishan	Interior Salish	Vso	Vso 	Vso			p d  aN  g   
1280	52.0	-120.0	shu	Shuswap		Salishan	Interior Salish	Vsos	Vsos 	nV¹sos			p     N  g   
1395	49.75	-121.75	tho	Thompson		Salishan	Interior Salish	Vsos	Vsos Vom	nV¹sos		wVsos	p  g#aN      
1252	-5.0	35.0	sdw	Sandawe		Sandawe	Sandawe	soV	soV 	soVⁿ		soV	  dg  Na#  rp
64	-3.75	141.166666667	ang	Anggor		Senagi	Senagi	soV	smoV	soVⁿ			   g  Na# drp
328	-3.58333333333	141.0	der	Dla (Proper)		Senagi	Senagi	soV	soV 	soV			  dg#aNa  d p
1315	-2.58333333333	140.583333333	snt	Sentani		Sentanic	Sentanic	soV	soV 	soⁿV		soV	  dg  Na#   p
1368	-2.45	140.416666667	tbl	Tabla		Sentanic	Sentanic	soV	soV 	soV¹⁰&nVnꜝ¹		soV	  d   Na#   p
2	-4.0	141.25	aba	Abau		Sepik	Abau	soV	soV 	soVn			   g  N # d p
561	-4.33333333333	142.0	iwm	Iwam		Sepik	Iwamic	soV	soV 	soVn	soVq	soV	      N #    
45	-3.83333333333	143.0	amb	Ambulas		Sepik	Ndu	soV	soV 	sonVⁿ		soV	 rdg aN #   p
497	-3.83333333333	142.916666667	hhu	Hanga Hundi		Sepik	Ndu	soV	soV 	soV			 rdg#aN #   p
526	-4.25	143.25	iat	Iatmul		Sepik	Ndu	soV	soV 	soV			      N      
737	-4.16666666667	142.75	kwo	Kwoma		Sepik	Nukuma	soV	somV	sonVnˀ¹		soV	 rdg#aN     p
105	-3.58333333333	142.0	awt	Awtuw		Sepik	Ram	soV	soV 	soⁿV	soVq	soV	 rdg  Na#   p
35	-4.66666666667	143.333333333	ala	Alamblak		Sepik	Sepik Hill	soV	soV 	sonV		soV	 rdg#aN     p
1247	-4.5	143.166666667	sar	Sare		Sepik	Sepik Hill	soV	soV 	soⁿVⁿ		soV	 rdg#aN     p
1011	-3.83333333333	141.75	nam	Namia		Sepik	Yellow River	soV	soV 	soⁿV	soVq	soV	 r g  Na# drp
1268	7.58333333333	35.4166666667	shb	Shabo		Shabo	Shabo	soV	soV 	soVn			    #aN    rp
1307	7.0	93.75	smp	Shompen		Shompen	Shompen	Vso	Vso 	Vso			    #aN      
1304	11.0	-4.91666666667	sme	Seme		Siamou	Siamou	soV	soVm	soVn		soV	  dg  Na    p
311	35.5	-80.5	ctw	Catawba		Siouan	Catawban	soV	soV 	soV			   g  Na    p
855	46.5	-102.5	mdn	Mandan		Siouan	Mandan	soV	soV 	sonVnꜝ¹		wsoV	   g  Na# ᵈ p
792	43.8333333333	-101.833333333	lkt	Lakhota		Siouan	Mississippi Valley Siouan	soV	soV 	soVn	soVq	soV	  dg  Na#gd⁵p
1117	42.0	-97.25	omh	Omaha		Siouan	Mississippi Valley Siouan	soV	soV 	soVⁿ	soVq		  dg  Na#    
1132	37.0	-94.0	osa	Osage		Siouan	Mississippi Valley Siouan	soV	soV 	soVn		soV	  dg  Na  d⁵p
304	47.0	-108.0	cro	Crow		Siouan	Missouri River Siouan	soV	soV 	soV		soV	   g  Na# d  
498	47.0	-102.5	hid	Hidatsa		Siouan	Missouri River Siouan	soV	soV 	soVⁿ			   g  Na  drp
