	Id	English	Part	hieroglyphics	transcription	
379	15-550	show	verb			
380	15-560	shine	verb	𓋴𓅱𓃀𓐍𓇶	swbḫ	
381	15-570	bright	adjective	𓋴𓈙𓊪𓇶	sšp	
382	15-610	color	noun			
383	15-620	light (in color)	adjective	𓃁𓇶	ꜥb	
384	15-630	dark (in color)	adjective	𓎡𓈖𓎛𓇰	knḥ	
385	15-640	white	adjective	𓎛𓌉𓆓𓇶	ḥḏ	
386	15-650	black	adjective	𓆎𓅓𓁸	km	
387	15-660	red	adjective	𓏏𓅓𓋴𓏞𓏛	ṯms	
388	15-670	blue	adjective	𓏏𓅓𓋴𓏞𓏛	ṯms	
389	15-680	green	adjective	𓇆	wꜣḏ	
390	15-690	yellow	adjective	𓈎𓈖𓇋𓏏𓈒𓏥	qnjt	
391	15-710	touch	verb	𓎀𓎛𓏭𓂻𓈖	ṯḥn	
392	15-712	pinch	verb			
393	15-720	feel	verb	𓇋𓃀𓃙𓏛	jb	
394	15-740	hard	adjective	𓈖𓆱𓐍𓏏𓀜	nḫt	
395	15-750	soft	adjective			
396	15-760	rough	adjective	𓄡𓏏𓏤𓂷𓂡	ḫt	
397	15-770	smooth	adjective	𓈖𓂝𓂝𓏞𓏛	nꜥꜥ	
398	15-780	sharp	adjective	𓋴𓇮𓂧𓌪	spd	
399	15-790	blunt|dull	adjective	𓍼𓀜	sfḫ	
400	15-810	heavy	adjective	𓂧𓈖𓋴𓍖𓊌	dns	
401	15-820	light (in weight)	adjective	𓇋𓇩𓊃𓆰	js	"# ""be light weight"""
402	15-830	wet|damp	adjective	𓈖𓊪𓅯𓈗	npꜣ	"# ""be wet"""
403	15-840	dry	adjective	𓆄𓇳	šw	"# ""be dry"""
404	15-850	hot	adjective	𓏏𓍔𓄿𓊮	tꜣ	
405	15-851	warm	adjective	𓐍𓅓𓊮	ḫm	
406	15-860	cold	adjective	𓈎𓃀𓏂	qb	
407	15-870	clean	adjective	𓏏𓅨𓂋𓇋𓌟𓏛	twr	"# ""be clean"""
408	15-880	dirty|soiled	adjective			
409	15-890	wrinkled	adjective	𓎛𓏏𓍔𓄿𓍱	ḥtꜣ	
410	16-110	soul|spirit	noun	𓂓𓄿𓀁	kꜣ	
411	16-150	surprised|astonished	adjective			
