appear	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)	   conjugation of appāreō (second conjugation)
advise	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)	   conjugation of moneō (second conjugation)
advise	indicative	indicative	singular	singular	singular	plural	plural	plural
advise	indicative	indicative	first	second	third	first	second	third
advise	active	present	moneō	monēs	monet	monēmus	monētis	monent
advise	active	imperfect	monēbam	monēbās	monēbat	monēbāmus	monēbātis	monēbant
advise	active	future	monēbō	monēbis	monēbit	monēbimus	monēbitis	monēbunt
advise	active	perfect	monuī	monuistī	monuit	monuimus	monuistis	monuērunt, monuēre
advise	active	pluperfect	monueram	monuerās	monuerat	monuerāmus	monuerātis	monuerant
advise	active	future perfect	monuerō	monueris	monuerit	monuerimus	monueritis	monuerint
advise	active	sigmatic future1	monerō	moneris	monerit	monerimus	moneritis	monerint
advise	passive	present	moneor	monēris, monēre	monētur	monēmur	monēminī	monentur
advise	passive	imperfect	monēbar	monēbāris, monēbāre	monēbātur	monēbāmur	monēbāminī	monēbantur
advise	passive	future	monēbor	monēberis, monēbere	monēbitur	monēbimur	monēbiminī	monēbuntur
advise	passive	perfect	monitus + present active indicative of sum	monitus + present active indicative of sum	monitus + present active indicative of sum	monitus + present active indicative of sum	monitus + present active indicative of sum	monitus + present active indicative of sum
advise	passive	pluperfect	monitus + imperfect active indicative of sum	monitus + imperfect active indicative of sum	monitus + imperfect active indicative of sum	monitus + imperfect active indicative of sum	monitus + imperfect active indicative of sum	monitus + imperfect active indicative of sum
advise	passive	future perfect	monitus + future active indicative of sum	monitus + future active indicative of sum	monitus + future active indicative of sum	monitus + future active indicative of sum	monitus + future active indicative of sum	monitus + future active indicative of sum
advise	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
advise	subjunctive	subjunctive	first	second	third	first	second	third
advise	active	present	moneam	moneās	moneat	moneāmus	moneātis	moneant
advise	active	imperfect	monērem	monērēs	monēret	monērēmus	monērētis	monērent
advise	active	perfect	monuerim	monuerīs	monuerit	monuerīmus	monuerītis	monuerint
advise	active	pluperfect	monuissem	monuissēs	monuisset	monuissēmus	monuissētis	monuissent
advise	active	sigmatic aorist1	monerim	monerīs	monerīt	monerīmus	monerītis	monerint
advise	passive	present	monear	moneāris, moneāre	moneātur	moneāmur	moneāminī	moneantur
advise	passive	imperfect	monērer	monērēris, monērēre	monērētur	monērēmur	monērēminī	monērentur
advise	passive	perfect	monitus + present active subjunctive of sum	monitus + present active subjunctive of sum	monitus + present active subjunctive of sum	monitus + present active subjunctive of sum	monitus + present active subjunctive of sum	monitus + present active subjunctive of sum
advise	passive	pluperfect	monitus + imperfect active subjunctive of sum	monitus + imperfect active subjunctive of sum	monitus + imperfect active subjunctive of sum	monitus + imperfect active subjunctive of sum	monitus + imperfect active subjunctive of sum	monitus + imperfect active subjunctive of sum
advise	imperative	imperative	singular	singular	singular	plural	plural	plural
advise	imperative	imperative	first	second	third	first	second	third
advise	active	present	—	monē	—	—	monēte	—
advise	active	future	—	monētō	monētō	—	monētōte	monentō
advise	passive	present	—	monēre	—	—	monēminī	—
advise	passive	future	—	monētor	monētor	—	—	monentor
advise	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
advise	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
advise	infinitives	infinitives	monēre	monuisse	monitūrum esse	monērī, monērier2	monitum esse	monitum īrī
advise	participles	participles	monēns	—	monitūrus	—	monitus	monendus
advise	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
advise	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
advise	verbal nouns	verbal nouns	monendī	monendō	monendum	monendō	monitum	monitū
capture	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)	   conjugation of capiō (third conjugation iō-variant)
capture	indicative	indicative	singular	singular	singular	plural	plural	plural
capture	indicative	indicative	first	second	third	first	second	third
capture	active	present	capiō	capis	capit	capimus	capitis	capiunt
capture	active	imperfect	capiēbam	capiēbās	capiēbat	capiēbāmus	capiēbātis	capiēbant
capture	active	future	capiam	capiēs	capiet	capiēmus	capiētis	capient
capture	active	perfect	cēpī	cēpistī	cēpit	cēpimus	cēpistis	cēpērunt, cēpēre
capture	active	pluperfect	cēperam	cēperās	cēperat	cēperāmus	cēperātis	cēperant
capture	active	future perfect	cēperō	cēperis	cēperit	cēperimus	cēperitis	cēperint
capture	active	sigmatic future1	capsō	capsis	capsit	capsimus	capsitis	capsint
capture	passive	present	capior	caperis, capere	capitur	capimur	capiminī	capiuntur
capture	passive	imperfect	capiēbar	capiēbāris, capiēbāre	capiēbātur	capiēbāmur	capiēbāminī	capiēbantur
capture	passive	future	capiar	capiēris, capiēre	capiētur	capiēmur	capiēminī	capientur
capture	passive	perfect	captus + present active indicative of sum	captus + present active indicative of sum	captus + present active indicative of sum	captus + present active indicative of sum	captus + present active indicative of sum	captus + present active indicative of sum
capture	passive	pluperfect	captus + imperfect active indicative of sum	captus + imperfect active indicative of sum	captus + imperfect active indicative of sum	captus + imperfect active indicative of sum	captus + imperfect active indicative of sum	captus + imperfect active indicative of sum
capture	passive	future perfect	captus + future active indicative of sum	captus + future active indicative of sum	captus + future active indicative of sum	captus + future active indicative of sum	captus + future active indicative of sum	captus + future active indicative of sum
capture	subjunctive	subjunctive	singular	singular	singular	plural	plural	plural
capture	subjunctive	subjunctive	first	second	third	first	second	third
capture	active	present	capiam	capiās	capiat	capiāmus	capiātis	capiant
capture	active	imperfect	caperem	caperēs	caperet	caperēmus	caperētis	caperent
capture	active	perfect	cēperim	cēperīs	cēperit	cēperīmus	cēperītis	cēperint
capture	active	pluperfect	cēpissem	cēpissēs	cēpisset	cēpissēmus	cēpissētis	cēpissent
capture	active	sigmatic aorist1	capsim	capsīs	capsīt	capsīmus	capsītis	capsint
capture	passive	present	capiar	capiāris, capiāre	capiātur	capiāmur	capiāminī	capiantur
capture	passive	imperfect	caperer	caperēris, caperēre	caperētur	caperēmur	caperēminī	caperentur
capture	passive	perfect	captus + present active subjunctive of sum	captus + present active subjunctive of sum	captus + present active subjunctive of sum	captus + present active subjunctive of sum	captus + present active subjunctive of sum	captus + present active subjunctive of sum
capture	passive	pluperfect	captus + imperfect active subjunctive of sum	captus + imperfect active subjunctive of sum	captus + imperfect active subjunctive of sum	captus + imperfect active subjunctive of sum	captus + imperfect active subjunctive of sum	captus + imperfect active subjunctive of sum
capture	imperative	imperative	singular	singular	singular	plural	plural	plural
capture	imperative	imperative	first	second	third	first	second	third
capture	active	present	—	cape	—	—	capite	—
capture	active	future	—	capitō	capitō	—	capitōte	capiuntō
capture	passive	present	—	capere	—	—	capiminī	—
capture	passive	future	—	capitor	capitor	—	—	capiuntor
capture	non-finite forms	non-finite forms	active	active	active	passive	passive	passive
capture	non-finite forms	non-finite forms	present	perfect	future	present	perfect	future
capture	infinitives	infinitives	capere	cēpisse	captūrum esse	capī	captum esse	captum īrī
capture	participles	participles	capiēns	—	captūrus	—	captus	capiendus, capiundus
capture	verbal nouns	verbal nouns	gerund	gerund	gerund	gerund	supine	supine
capture	verbal nouns	verbal nouns	genitive	dative	accusative	ablative	accusative	ablative
capture	verbal nouns	verbal nouns	capiendī	capiendō	capiendum	capiendō	captum	captū
