chapter_id	entry_id	meaning	Khanty_Phonemic	comment
10	810	ship	tutaŋ xop	
10	830	boat	xop	
10	831	canoe	xop	
10	840	raft	pur̃	
10	850	oar	ləp	
10	851	paddle (noun)	ləp	
10	852	row (vb)	lowaltɨ	
10	860	rudder	sewas	
10	870	mast	par̃š aŋkal	
10	880	sail (noun)	par̃š	
10	890	anchor	wuŋlep; yakar̃	
10	920	land (vb)	wut mantɨ; xoytɨ	
11	110	have	taytɨ	
11	120	own, possess	taytɨ	
11	130	take	wutɨ; wuylʸatɨ; alematɨ	
11	140	seize, grasp	alematɨ; katltɨ	
11	150	hold	taytɨ	
11	160	get, obtain	wutɨ; yoša pawattɨ; musʸattɨ; weltɨ	
11	170	keep, retain	taytɨ	
11	180	thing	ut; pur̃mas	
11	210	give	matɨ	
