chapter_id	entry_id	meaning	Northern Saami_Phonemic	comment
9	223	stab	r̃uovdadit	
9	230	knife	niibi	
9	240	scissors, shears	skar̃r̃it	Plural form.
9	250	ax	akšu	
9	260	break	doɑdyit	
9	261	broken	doɑdyan	
9	270	split	luoddut	
9	280	tear	gɑikut	
9	290	flay, skin	ɲuovvɑt	
9	310	rub, wipe	r̃uvvet	
9	320	stretch	fɑnɑhit	
9	330	pull	geɑssit	
9	340	spread out	biðget	
9	341	hang up	heŋget	
9	342	press	deɑddit	
9	343	squeeze, wring	botɲɑt	
9	350	pour	leɑikut	
9	360	wash	bɑssɑt	
9	370	sweep	luvdet	
9	380	broom	luvda	
9	422	tool	bɑr̃gobier̃ggɑs	
9	430	carpenter	snihkkar̃	
9	440	build	hukset; r̃ahkɑdit	
9	460	bore	bohkɑt	
9	461	hollow out	gohpɑt	
9	480	saw	sɑha	
9	490	hammer	veɑhčir̃	
9	500	nail	navli	
9	560	glue	liibmɑ	
9	600	smith, blacksmith	r̃avdi	
9	610	forge	deɑr̃pɑt	
9	620	anvil	stɑðði	
9	630	cast (metals)	leiket	
9	640	gold	golli	
9	650	silver	silbɑ	
9	660	copper, bronze	giipar̃; br̃onsɑ	
9	670	iron	r̃uovdi	
9	680	lead (noun)	lɑdyu	
9	690	tin, tinplate	dɑtni	
9	710	potter	lairelihttedɑhkki	
9	720	mold (clay etc)	habmet	
9	730	clay	lairi	
9	740	glass	lase	
9	750	weave, plait	botnit	
9	760	basket	gor̃e	
9	770	mat	r̃atnu	
9	771	rug	r̃atnu	
9	790	fan (noun)	yielɑn	
9	791	fan (vb)	biekkɑhit	
9	810	carve	c̷ahpɑt	
9	820	sculptor	govvɑčuolli	
9	830	statue	govvɑbad͜zd͜zi	
9	880	paint (noun)	baidnu	
9	890	paint (vb)	malet	
10	110	move	lihkɑhit	
10	120	turn over	yor̃gɑlit	
10	130	turn around	yor̃ggihit	
10	140	wind, wrap	giessɑt	
10	150	roll	fier̃ɑt; fier̃ɑhit	
10	160	drop (vb)	gɑhčɑhit	
10	170	twist	botɲɑt	
10	210	rise	loktɑt	
10	220	raise, lift	loktet	
10	230	fall	gɑhččɑt	
10	240	drip	goɑikut	
10	250	throw	balkestit	
10	252	catch (ball)	bivdit	
10	260	shake	šluvgit	
10	320	flow	golgɑt	
10	330	sink	vuodyut	
10	340	float	r̃ievdɑt	
10	350	swim	vuodyɑt	
10	351	dive	buokčɑt	
10	352	splash	stuhčɑt	
10	360	sail (vb)	bor̃yyɑstit	
10	370	fly (vb)	gir̃dit	
10	380	blow	bieggɑt	
10	410	creep, crawl	ɲoɑmmut; beɑhkit	
10	412	kneel	čippostɑllɑt	
10	413	crouch	čegŋedit	
10	420	slide, slip	čeɑssɑt	
10	430	jump, leap	ɲuiket	
10	431	kick	čiekčɑt	
10	440	dance	dansut	
10	450	walk	vad͜zd͜zit	
10	451	limp	skier̃bmut	
10	460	run	viehkɑt	
10	470	go	mɑnnɑt	
10	471	go up	mɑnnɑt ɑlɑs	
10	472	climb	goɑr̃gŋut	
10	473	go down	mɑnnɑt vulos	
10	474	go out	mɑnnɑt olggos	
10	480	come	boɑhtit	
10	481	come back	mahc̷c̷ɑt	
10	490	go away, depart	vuolgit	
10	491	disappear	yavkɑt	
10	510	flee	bahtɑr̃it	
10	520	follow	čuovvut	
10	530	pursue	doɑr̃r̃idit	
10	550	reach, arrive	yoɑvdɑt	
10	560	approach	lɑhkɑnit	
10	610	carry (bear)	guoddit	
10	612	carry-in-hand	guoddit	
10	613	carry-on-shoulder	gur̃put	
10	614	carry-on-head	guoddit	
10	615	carry-underarm	guoddit	
10	620	bring	buktit	
10	630	send	saddet	
10	640	lead (vb)	yoðihit	
10	650	drive	vuoyihit	
10	660	ride	riidet	
10	670	push, shove	sahčɑt	
10	710	road	geɑidnu	
10	720	path	balggis	
10	740	bridge	šɑldi	
10	750	carriage, wagon, cart	skeɑr̃r̃ut; vovdnɑ	The first example is plural.; The first example is plural.
10	760	wheel	yuvlɑ	
10	770	axle	aksil	
10	810	ship	dampɑ	
10	830	boat	fɑnɑs	
10	831	canoe	kanohtɑ	
10	840	raft	lɑhttɑ	
10	850	oar	airu	
