*	*	*	*	nominative	genitive	dative	accusative	vocative	#	attic														
property	plural	neuter	latin	ktḗmata	ktēmátōn	ktḗmasi(n)	ktḗmata	ktḗmata	#	3														
									#															
Greek	singular 	masculine	greek	Ἕλλην	Ἕλληνος	Ἕλληνῐ	Ἕλληνᾰ	Ἕλλην	#	3														
Greek	singular 	masculine	latin	Héllēn	Héllēnos	Héllēni	Héllēna	Héllēn	#	3														
Greek	dual 	masculine	greek	Ἕλληνε	Ἑλλήνοιν	Ἑλλήνοιν	Ἕλληνε	Ἕλληνε	#	3														
Greek	dual 	masculine	latin	Héllēne	Hellḗnoin	Hellḗnoin	Héllēne	Héllēne	#	3														
Greek	plural	masculine	greek	Ἕλληνες	Ἑλλήνων	Ἕλλησῐ/Ἕλλησῐν	Ἕλληνᾰς	Ἕλληνες	#	3														
Greek	plural	masculine	latin	Héllēnes	Hellḗnōn	Héllēsi(n)	Héllēnas	Héllēnes	#	3														
																								
winter	singular 	masculine	greek	χειμών	χειμῶνος	χειμῶνῐ	χειμῶνᾰ	χειμών	#	3														
winter	singular 	masculine	latin	kheimṓn	kheimônos	kheimôni	kheimôna	kheimṓn	#	3														
winter	dual 	masculine	greek	χειμῶνε	χειμώνοιν	χειμώνοιν	χειμῶνε	χειμῶνε	#	3														
winter	dual 	masculine	latin	kheimône	kheimṓnoin	kheimṓnoin	kheimône	kheimône	#	3														
winter	plural	masculine	greek	χειμῶνες	χειμώνων	χειμῶσῐ/χειμῶσῐν	χειμῶνᾰς	χειμῶνες	#	3														
winter	plural	masculine	latin	kheimônes	kheimṓnōn	kheimôsi(n)	kheimônas	kheimônes	#	3														
																								
Titan	singular 	masculine	greek	Τῑτᾱ́ν	Τῑτᾶνος	Τῑτᾶνῐ	Τῑτᾶνᾰ	Τῑτᾱ́ν	#	3														
Titan	singular 	masculine	latin	Tītā́n	Tītânos	Tītâni	Tītâna	Tītā́n	#	3														
Titan	dual 	masculine	greek	Τῑτᾶνε	Τῑτᾱ́νοιν	Τῑτᾱ́νοιν	Τῑτᾶνε	Τῑτᾶνε	#	3														
Titan	dual 	masculine	latin	Tītâne	Tītā́noin	Tītā́noin	Tītâne	Tītâne	#	3														
Titan	plural	masculine	greek	Τῑτᾶνες	Τῑτᾱ́νων	Τῑτᾶσῐ/Τῑτᾶσῐν	Τῑτᾶνᾰς	Τῑτᾶνες	#	3														
Titan	plural	masculine	latin	Tītânes	Tītā́nōn	Tītâsi(n)	Tītânas	Tītânes	#	3														
																								
light ray	singular 	feminine	greek	ἀκτῑ́ς	ἀκτῖνος	ἀκτῖνῐ	ἀκτῖνᾰ	ἀκτῑ́ς	#	3														
light ray	singular 	feminine	latin	aktī́s	aktînos	aktîni	aktîna	aktī́s	#	3														
light ray	dual 	feminine	greek	ἀκτῖνε	ἀκτῑ́νοιν	ἀκτῑ́νοιν	ἀκτῖνε	ἀκτῖνε	#	3														
light ray	dual 	feminine	latin	aktîne	aktī́noin	aktī́noin	aktîne	aktîne	#	3														
light ray	plural	feminine	greek	ἀκτῖνες	ἀκτῑ́νων	ἀκτῖσῐ/ἀκτῖσῐν	ἀκτῖνᾰς	ἀκτῖνες	#	3														
light ray	plural	feminine	latin	aktînes	aktī́nōn	aktîsi(n)	aktînas	aktînes	#	3														
									#															
shepherd	singular 	masculine	greek	ποιμήν	ποιμένος	ποιμένῐ	ποιμένᾰ	ποιμήν	#	3														
shepherd	singular 	masculine	latin	poimḗn	poiménos	poiméni	poiména	poimḗn	#	3														
shepherd	dual 	masculine	greek	ποιμένε	ποιμένοιν	ποιμένοιν	ποιμένε	ποιμένε	#	3														
shepherd	dual 	masculine	latin	poiméne	poiménoin	poiménoin	poiméne	poiméne	#	3														
shepherd	plural	masculine	greek	ποιμένες	ποιμένων	ποιμέσῐ/ποιμέσῐν	ποιμένᾰς	ποιμένες	#	3														
shepherd	plural	masculine	latin	poiménes	poiménōn	poimési(n)	poiménas	poiménes	#	3														
																								
guide	singular 	masculine	greek	ἡγεμών	ἡγεμόνος	ἡγεμόνῐ	ἡγεμόνᾰ	ἡγεμών	#	3														
guide	singular 	masculine	latin	hēgemṓn	hēgemónos	hēgemóni	hēgemóna	hēgemṓn	#	3														
guide	dual 	masculine	greek	ἡγεμόνε	ἡγεμόνοιν	ἡγεμόνοιν	ἡγεμόνε	ἡγεμόνε	#	3														
guide	dual 	masculine	latin	hēgemóne	hēgemónoin	hēgemónoin	hēgemóne	hēgemóne	#	3														
guide	plural	masculine	greek	ἡγεμόνες	ἡγεμόνων	ἡγεμόσῐ/ἡγεμόσῐν	ἡγεμόνᾰς	ἡγεμόνες	#	3														
guide	plural	masculine	latin	hēgemónes	hēgemónōn	hēgemósi(n)	hēgemónas	hēgemónes	#	3														
																								
neighbor	singular 	masculine	greek	γείτων	γείτονος	γείτονῐ	γείτονᾰ	γεῖτον	#	3														
neighbor	singular 	masculine	latin	geítōn	geítonos	geítoni	geítona	geîton	#	3														
neighbor	dual 	masculine	greek	γείτονε	γειτόνοιν	γειτόνοιν	γείτονε	γείτονε	#	3														
neighbor	dual 	masculine	latin	geítone	geitónoin	geitónoin	geítone	geítone	#	3														
neighbor	plural	masculine	greek	γείτονες	γειτόνων	γείτοσῐ/γείτοσῐν	γείτονᾰς	γείτονες	#	3														
neighbor	plural	masculine	latin	geítones	geitónōn	geítosi(n)	geítonas	geítones	#	3														
									#															
tipstaff	singular 	masculine	greek	κλητήρ	κλητῆρος	κλητῆρι	κλητῆρα	κλητήρ	#	3														
tipstaff	dual 	masculine	greek	κλητῆρε	κλητήροιν	κλητήροιν	κλητῆρα	κλητῆρε	#	3														
tipstaff	plural 	masculine	greek	κλητῆρες	κλητήρων	κλητῆρσι	κλητῆρας	κλητῆρες	#	3														
																								
ichor	singular 	masculine	greek	ῑ̓χώρ	ῑ̓χῶρος	ῑ̓χῶρῐ	ῑ̓χῶρᾰ	ῑ̓χώρ	#	3														
ichor	singular 	masculine	latin	īkhṓr	īkhôros	īkhôri	īkhôra	īkhṓr	#	3														
ichor	dual 	masculine	greek	ῑ̓χῶρε	ῑ̓χώροιν	ῑ̓χώροιν	ῑ̓χῶρε	ῑ̓χῶρε	#	3														
ichor	dual 	masculine	latin	īkhôre	īkhṓroin	īkhṓroin	īkhôre	īkhôre	#	3														
ichor	plural	masculine	greek	ῑ̓χῶρες	ῑ̓χώρων	ῑ̓χῶρσῐ/ῑ̓χῶρσῐν	ῑ̓χῶρᾰς	ῑ̓χῶρες	#	3														
ichor	plural	masculine	latin	īkhôres	īkhṓrōn	īkhôrsi(n)	īkhôras	īkhôres	#	3														
																								
chaff	singular 	masculine	greek	ἀθήρ	ἀθέρος	ἀθέρῐ	ἀθέρᾰ	ἀθήρ	#	3														
chaff	singular 	masculine	latin	athḗr	athéros	athéri	athéra	athḗr	#	3														
chaff	dual 	masculine	greek	ἀθέρε	ἀθέροιν	ἀθέροιν	ἀθέρε	ἀθέρε	#	3														
chaff	dual 	masculine	latin	athére	athéroin	athéroin	athére	athére	#	3														
chaff	plural	masculine	greek	ἀθέρες	ἀθέρων	ἀθέρσῐ/ἀθέρσῐν	ἀθέρᾰς	ἀθέρες	#	3														
chaff	plural	masculine	latin	athéres	athérōn	athérsi(n)	athéras	athéres	#	3														
																								
orator	singular 	masculine	greek	ῥήτωρ	ῥήτορος	ῥήτορῐ	ῥήτορᾰ	ῥῆτορ	#	3														
orator	singular 	masculine	latin	rhḗtōr	rhḗtoros	rhḗtori	rhḗtora	rhêtor	#	3														
orator	dual 	masculine	greek	ῥήτορε	ῥητόροιν	ῥητόροιν	ῥήτορε	ῥήτορε	#	3														
