appear	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)															
resemble	1st plur.	1st plur.	muistuttaisimme	emme muistuttaisi	1st plur.	olisimme muistuttaneet	emme olisi muistuttaneet															
resemble	2nd plur.	2nd plur.	muistuttaisitte	ette muistuttaisi	2nd plur.	olisitte muistuttaneet	ette olisi muistuttaneet															
resemble	3rd plur.	3rd plur.	muistuttaisivat	eivät muistuttaisi	3rd plur.	olisivat muistuttaneet	eivät olisi muistuttaneet															
resemble	passive	passive	muistutettaisiin	ei muistutettaisi	passive	olisi muistutettu	ei olisi muistutettu															
resemble	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
resemble	present	present	present	present	perfect	perfect	perfect															
resemble	person	person	positive	negative	person	positive	negative															
resemble	1st sing.	1st sing.	—	—	1st sing.	—	—															
resemble	2nd sing.	2nd sing.	muistuta	älä muistuta	2nd sing.	ole muistuttanut	älä ole muistuttanut															
resemble	3rd sing.	3rd sing.	muistuttakoon	älköön muistuttako	3rd sing.	olkoon muistuttanut	älköön olko muistuttanut															
resemble	1st plur.	1st plur.	muistuttakaamme	älkäämme muistuttako	1st plur.	olkaamme muistuttaneet	älkäämme olko muistuttaneet															
resemble	2nd plur.	2nd plur.	muistuttakaa	älkää muistuttako	2nd plur.	olkaa muistuttaneet	älkää olko muistuttaneet															
resemble	3rd plur.	3rd plur.	muistuttakoot	älkööt muistuttako	3rd plur.	olkoot muistuttaneet	älkööt olko muistuttaneet															
resemble	passive	passive	muistutettakoon	älköön muistutettako	passive	olkoon muistutettu	älköön olko muistutettu															
resemble	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
resemble	present	present	present	present	perfect	perfect	perfect															
resemble	person	person	positive	negative	person	positive	negative															
resemble	1st sing.	1st sing.	muistuttanen	en muistuttane	1st sing.	lienen muistuttanut	en liene muistuttanut															
resemble	2nd sing.	2nd sing.	muistuttanet	et muistuttane	2nd sing.	lienet muistuttanut	et liene muistuttanut															
resemble	3rd sing.	3rd sing.	muistuttanee	ei muistuttane	3rd sing.	lienee muistuttanut	ei liene muistuttanut															
resemble	1st plur.	1st plur.	muistuttanemme	emme muistuttane	1st plur.	lienemme muistuttaneet	emme liene muistuttaneet															
resemble	2nd plur.	2nd plur.	muistuttanette	ette muistuttane	2nd plur.	lienette muistuttaneet	ette liene muistuttaneet															
resemble	3rd plur.	3rd plur.	muistuttanevat	eivät muistuttane	3rd plur.	lienevät muistuttaneet	eivät liene muistuttaneet															
resemble	passive	passive	muistutettaneen	ei muistutettane	passive	lienee muistutettu	ei liene muistutettu															
resemble	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
resemble	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
resemble			active	passive		active	passive															
resemble	1st	1st	muistuttaa	muistuttaa	present	muistuttava	muistutettava															
resemble	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stmuistuttaaksenimuistuttaaksemme2ndmuistuttaaksesimuistuttaaksenne3rdmuistuttaakseenmuistuttaaksensa	Possessive formsPersonsing.plur.1stmuistuttaaksenimuistuttaaksemme2ndmuistuttaaksesimuistuttaaksenne3rdmuistuttaakseenmuistuttaaksensa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	muistuttaakseni	muistuttaaksemme	2nd	muistuttaaksesi	muistuttaaksenne	3rd	muistuttaakseenmuistuttaaksensa	muistuttaakseenmuistuttaaksensa	past	muistuttanut	muistutettu
resemble	possessive forms	possessive forms	possessive forms																			
resemble	person	sing.	plur.																			
resemble	1st	muistuttaakseni	muistuttaaksemme																			
resemble	2nd	muistuttaaksesi	muistuttaaksenne																			
resemble	3rd	muistuttaakseenmuistuttaaksensa	muistuttaakseenmuistuttaaksensa																			
resemble	2nd	inessive2	muistuttaessa	muistutettaessa	agent3	muistuttama	muistuttama															
resemble	2nd	inessive2	Possessive formsPersonsing.plur.1stmuistuttaessanimuistuttaessamme2ndmuistuttaessasimuistuttaessanne3rdmuistuttaessaanmuistuttaessansa	Possessive formsPersonsing.plur.1stmuistuttaessanimuistuttaessamme2ndmuistuttaessasimuistuttaessanne3rdmuistuttaessaanmuistuttaessansa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	muistuttaessani	muistuttaessamme	2nd	muistuttaessasi	muistuttaessanne	3rd	muistuttaessaanmuistuttaessansa	muistuttaessaanmuistuttaessansa	negative	muistuttamaton	muistuttamaton
resemble	2nd	possessive forms	possessive forms	possessive forms																		
resemble	person	sing.	plur.																			
resemble	1st	muistuttaessani	muistuttaessamme																			
resemble	2nd	muistuttaessasi	muistuttaessanne																			
resemble	3rd	muistuttaessaanmuistuttaessansa	muistuttaessaanmuistuttaessansa																			
resemble	instructive	muistuttaen	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.																
resemble	3rd	inessive	muistuttamassa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
resemble	3rd	elative	muistuttamasta	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
resemble	3rd	illative	muistuttamaan	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
resemble	3rd	adessive	muistuttamalla	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
resemble	3rd	abessive	muistuttamatta	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	—															
resemble	3rd	instructive	muistuttaman	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	muistutettaman															
resemble	4th4	verbal noun	muistuttaminen	muistuttaminen	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.																
resemble	5th1	5th1	Possessive formsPersonsing.plur.1stmuistuttamaisillanimuistuttamaisillamme2ndmuistuttamaisillasimuistuttamaisillanne3rdmuistuttamaisillaanmuistuttamaisillansa	Possessive formsPersonsing.plur.1stmuistuttamaisillanimuistuttamaisillamme2ndmuistuttamaisillasimuistuttamaisillanne3rdmuistuttamaisillaanmuistuttamaisillansa	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	muistuttamaisillani	muistuttamaisillamme	2nd	muistuttamaisillasi	muistuttamaisillanne	3rd	muistuttamaisillaanmuistuttamaisillansa	muistuttamaisillaanmuistuttamaisillansa	
resemble	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).* The third-person singular indicative form muistuttaa does not exhibit final gemination, unlike the first infinitive (the lemma form), even though they are spelled identically.																
resemble	person	sing.	plur.																			
resemble	1st	muistuttamaisillani	muistuttamaisillamme																			
resemble	2nd	muistuttamaisillasi	muistuttamaisillanne																			
resemble	3rd	muistuttamaisillaanmuistuttamaisillansa	muistuttamaisillaanmuistuttamaisillansa																			
rest	inflection of levätä (kotus type 73*e/salata, p-v gradation)	inflection of levätä (kotus type 73*e/salata, p-v gradation)	inflection of levätä (kotus type 73*e/salata, p-v gradation)	inflection of levätä (kotus type 73*e/salata, p-v gradation)	inflection of levätä (kotus type 73*e/salata, p-v gradation)	inflection of levätä (kotus type 73*e/salata, p-v gradation)	inflection of levätä (kotus type 73*e/salata, p-v gradation)															
rest	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
rest	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
rest	person	person	positive	negative	person	positive	negative															
rest	1st sing.	1st sing.	lepään	en lepää	1st sing.	olen levännyt	en ole levännyt															
rest	2nd sing.	2nd sing.	lepäät	et lepää	2nd sing.	olet levännyt	et ole levännyt															
rest	3rd sing.	3rd sing.	lepää	ei lepää	3rd sing.	on levännyt	ei ole levännyt															
rest	1st plur.	1st plur.	lepäämme	emme lepää	1st plur.	olemme levänneet	emme ole levänneet															
rest	2nd plur.	2nd plur.	lepäätte	ette lepää	2nd plur.	olette levänneet	ette ole levänneet															
rest	3rd plur.	3rd plur.	lepäävät	eivät lepää	3rd plur.	ovat levänneet	eivät ole levänneet															
rest	passive	passive	levätään	ei levätä	passive	on levätty	ei ole levätty															
rest	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
rest	person	person	positive	negative	person	positive	negative															
rest	1st sing.	1st sing.	lepäsin	en levännyt	1st sing.	olin levännyt	en ollut levännyt															
rest	2nd sing.	2nd sing.	lepäsit	et levännyt	2nd sing.	olit levännyt	et ollut levännyt															
rest	3rd sing.	3rd sing.	lepäsi	ei levännyt	3rd sing.	oli levännyt	ei ollut levännyt															
rest	1st plur.	1st plur.	lepäsimme	emme levänneet	1st plur.	olimme levänneet	emme olleet levänneet															
rest	2nd plur.	2nd plur.	lepäsitte	ette levänneet	2nd plur.	olitte levänneet	ette olleet levänneet															
rest	3rd plur.	3rd plur.	lepäsivät	eivät levänneet	3rd plur.	olivat levänneet	eivät olleet levänneet															
rest	passive	passive	levättiin	ei levätty	passive	oli levätty	ei ollut levätty															
rest	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
rest	present	present	present	present	perfect	perfect	perfect															
rest	person	person	positive	negative	person	positive	negative															
rest	1st sing.	1st sing.	lepäisin	en lepäisi	1st sing.	olisin levännyt	en olisi levännyt															
rest	2nd sing.	2nd sing.	lepäisit	et lepäisi	2nd sing.	olisit levännyt	et olisi levännyt															
rest	3rd sing.	3rd sing.	lepäisi	ei lepäisi	3rd sing.	olisi levännyt	ei olisi levännyt															
rest	1st plur.	1st plur.	lepäisimme	emme lepäisi	1st plur.	olisimme levänneet	emme olisi levänneet															
rest	2nd plur.	2nd plur.	lepäisitte	ette lepäisi	2nd plur.	olisitte levänneet	ette olisi levänneet															
rest	3rd plur.	3rd plur.	lepäisivät	eivät lepäisi	3rd plur.	olisivat levänneet	eivät olisi levänneet															
rest	passive	passive	levättäisiin	ei levättäisi	passive	olisi levätty	ei olisi levätty															
rest	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
rest	present	present	present	present	perfect	perfect	perfect															
rest	person	person	positive	negative	person	positive	negative															
rest	1st sing.	1st sing.	—	—	1st sing.	—	—															
rest	2nd sing.	2nd sing.	lepää	älä lepää	2nd sing.	ole levännyt	älä ole levännyt															
rest	3rd sing.	3rd sing.	levätköön	älköön levätkö	3rd sing.	olkoon levännyt	älköön olko levännyt															
rest	1st plur.	1st plur.	levätkäämme	älkäämme levätkö	1st plur.	olkaamme levänneet	älkäämme olko levänneet															
rest	2nd plur.	2nd plur.	levätkää	älkää levätkö	2nd plur.	olkaa levänneet	älkää olko levänneet															
rest	3rd plur.	3rd plur.	levätkööt	älkööt levätkö	3rd plur.	olkoot levänneet	älkööt olko levänneet															
rest	passive	passive	levättäköön	älköön levättäkö	passive	olkoon levätty	älköön olko levätty															
rest	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
rest	present	present	present	present	perfect	perfect	perfect															
rest	person	person	positive	negative	person	positive	negative															
rest	1st sing.	1st sing.	levännen	en levänne	1st sing.	lienen levännyt	en liene levännyt															
rest	2nd sing.	2nd sing.	levännet	et levänne	2nd sing.	lienet levännyt	et liene levännyt															
rest	3rd sing.	3rd sing.	levännee	ei levänne	3rd sing.	lienee levännyt	ei liene levännyt															
rest	1st plur.	1st plur.	levännemme	emme levänne	1st plur.	lienemme levänneet	emme liene levänneet															
rest	2nd plur.	2nd plur.	levännette	ette levänne	2nd plur.	lienette levänneet	ette liene levänneet															
rest	3rd plur.	3rd plur.	levännevät	eivät levänne	3rd plur.	lienevät levänneet	eivät liene levänneet															
rest	passive	passive	levättäneen	ei levättäne	passive	lienee levätty	ei liene levätty															
rest	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
rest	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
rest			active	passive		active	passive															
rest	1st	1st	levätä	levätä	present	lepäävä	levättävä															
rest	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stlevätäksenilevätäksemme2ndlevätäksesilevätäksenne3rdlevätäkseenlevätäksensä	Possessive formsPersonsing.plur.1stlevätäksenilevätäksemme2ndlevätäksesilevätäksenne3rdlevätäkseenlevätäksensä	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	levätäkseni	levätäksemme	2nd	levätäksesi	levätäksenne	3rd	levätäkseenlevätäksensä	levätäkseenlevätäksensä	past	levännyt	levätty
rest	possessive forms	possessive forms	possessive forms																			
rest	person	sing.	plur.																			
rest	1st	levätäkseni	levätäksemme																			
rest	2nd	levätäksesi	levätäksenne																			
rest	3rd	levätäkseenlevätäksensä	levätäkseenlevätäksensä																			
rest	2nd	inessive2	levätessä	levättäessä	agent3	lepäämä	lepäämä															
rest	2nd	inessive2	Possessive formsPersonsing.plur.1stlevätessänilevätessämme2ndlevätessäsilevätessänne3rdlevätessäänlevätessänsä	Possessive formsPersonsing.plur.1stlevätessänilevätessämme2ndlevätessäsilevätessänne3rdlevätessäänlevätessänsä	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	levätessäni	levätessämme	2nd	levätessäsi	levätessänne	3rd	levätessäänlevätessänsä	levätessäänlevätessänsä	negative	lepäämätön	lepäämätön
rest	2nd	possessive forms	possessive forms	possessive forms																		
rest	person	sing.	plur.																			
rest	1st	levätessäni	levätessämme																			
rest	2nd	levätessäsi	levätessänne																			
rest	3rd	levätessäänlevätessänsä	levätessäänlevätessänsä																			
rest	instructive	leväten	—	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
rest	3rd	inessive	lepäämässä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
rest	3rd	elative	lepäämästä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
rest	3rd	illative	lepäämään	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
rest	3rd	adessive	lepäämällä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
rest	3rd	abessive	lepäämättä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	—															
rest	3rd	instructive	lepäämän	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	levättämän															
